지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),적설(cm)
108,서울,2018-12-24 00:00,-3.4,,1.6,41,,
108,서울,2018-12-24 01:00,-3.6,,1.5,44,,
108,서울,2018-12-24 02:00,-4.2,,1.2,46,,
108,서울,2018-12-24 03:00,-4.5,,1.7,45,,
108,서울,2018-12-24 04:00,-4.8,,1.2,45,,
108,서울,2018-12-24 05:00,-4.8,,1.4,45,,
108,서울,2018-12-24 06:00,-5.1,,2,47,,
108,서울,2018-12-24 07:00,-5.4,,1.4,48,,
108,서울,2018-12-24 08:00,-5.7,,.6,50,0,
108,서울,2018-12-24 09:00,-4.8,,2.2,48,.8,
108,서울,2018-12-24 10:00,-3,,2.8,36,1,
108,서울,2018-12-24 11:00,-1.2,,2.9,31,1,
108,서울,2018-12-24 12:00,-.4,,1.7,27,1,
108,서울,2018-12-24 13:00,1.5,,1.6,21,1,
108,서울,2018-12-24 14:00,2.9,,2.1,21,1,
108,서울,2018-12-24 15:00,2.8,,2.5,17,1,
108,서울,2018-12-24 16:00,2.7,,2.3,20,1,
108,서울,2018-12-24 17:00,.8,,2.7,20,1,
108,서울,2018-12-24 18:00,-.4,,1.9,23,0,
108,서울,2018-12-24 19:00,-1.1,,2.3,37,,
108,서울,2018-12-24 20:00,-1.7,,1.7,41,,
108,서울,2018-12-24 21:00,-2.5,,.9,40,,
108,서울,2018-12-24 22:00,-3.2,,.5,37,,
108,서울,2018-12-24 23:00,-3.3,,.6,38,,
108,서울,2018-12-25 00:00,-3.6,,1.1,40,,
108,서울,2018-12-25 01:00,-3.9,,.9,42,,
108,서울,2018-12-25 02:00,-3.4,,.7,38,,
108,서울,2018-12-25 03:00,-3.3,,.8,39,,
108,서울,2018-12-25 04:00,-2.7,,1.2,40,,
108,서울,2018-12-25 05:00,-3.1,,1.5,45,,
108,서울,2018-12-25 06:00,-3.2,,1.4,46,,
108,서울,2018-12-25 07:00,-3.3,,1.3,46,,
108,서울,2018-12-25 08:00,-3.5,,1.5,43,0,
108,서울,2018-12-25 09:00,-2.9,,1.2,42,0,
108,서울,2018-12-25 10:00,-1.4,,1.3,41,0,
108,서울,2018-12-25 11:00,-.1,,1,40,0,
108,서울,2018-12-25 12:00,1.5,,1.6,34,.5,
108,서울,2018-12-25 13:00,3,,.9,35,1,
108,서울,2018-12-25 14:00,5,,1.9,39,1,
108,서울,2018-12-25 15:00,4.5,,1.8,49,.6,
108,서울,2018-12-25 16:00,3.4,,1.8,65,0,
108,서울,2018-12-25 17:00,3.1,,1,65,0,
108,서울,2018-12-25 18:00,3,,1.7,73,0,
108,서울,2018-12-25 19:00,3,,2.6,72,,
108,서울,2018-12-25 20:00,2.6,,1.3,73,,
108,서울,2018-12-25 21:00,2.6,,1.2,74,,
108,서울,2018-12-25 22:00,2.4,,.6,72,,
108,서울,2018-12-25 23:00,2.6,,.8,69,,
108,서울,2018-12-26 00:00,2.8,,.6,70,,
108,서울,2018-12-26 01:00,3,,2.1,71,,
108,서울,2018-12-26 02:00,2.5,,1.4,76,,
108,서울,2018-12-26 03:00,1.9,,1.7,76,,
108,서울,2018-12-26 04:00,1,,2.2,69,,
