지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),적설(cm)
108,서울,2018-12-26 05:00,.2,,3.6,69,,
108,서울,2018-12-26 06:00,-.5,,1.5,68,,
108,서울,2018-12-26 07:00,-1.1,,2.2,64,,
108,서울,2018-12-26 08:00,-1.8,,1.7,64,0,
108,서울,2018-12-26 09:00,-2.1,,2.1,62,.5,
108,서울,2018-12-26 10:00,-1,,2.2,53,1,
108,서울,2018-12-26 11:00,.1,,3.6,36,1,
108,서울,2018-12-26 12:00,.7,,2.9,31,1,
108,서울,2018-12-26 13:00,1.4,,3.4,26,1,
108,서울,2018-12-26 14:00,1.1,,4.1,23,1,
108,서울,2018-12-26 15:00,1,,3.5,20,1,
108,서울,2018-12-26 16:00,.6,,3.4,17,1,
108,서울,2018-12-26 17:00,-.8,,2.7,18,.8,
108,서울,2018-12-26 18:00,-2,,2.5,19,0,
108,서울,2018-12-26 19:00,-2.8,,4.4,20,,
108,서울,2018-12-26 20:00,-3.7,,2.8,22,,
108,서울,2018-12-26 21:00,-4.4,,4.2,22,,
108,서울,2018-12-26 22:00,-5.3,,3,27,,
108,서울,2018-12-26 23:00,-6.3,,3.6,31,,
108,서울,2018-12-27 00:00,-7,,4.2,28,,
108,서울,2018-12-27 01:00,-7.9,,3.5,29,,
108,서울,2018-12-27 02:00,-8.7,,2.8,30,,
108,서울,2018-12-27 03:00,-9.4,,2.5,28,,
108,서울,2018-12-27 04:00,-9.8,,2.6,26,,
108,서울,2018-12-27 05:00,-10.5,,2.7,25,,
108,서울,2018-12-27 06:00,-10.9,,2.2,23,,
108,서울,2018-12-27 07:00,-11.2,,2.9,22,,
108,서울,2018-12-27 08:00,-11.7,,3.3,22,0,
108,서울,2018-12-27 09:00,-11.6,,3.8,21,.7,
108,서울,2018-12-27 10:00,-10.8,,4.4,17,1,
108,서울,2018-12-27 11:00,-10,,4.1,16,1,
108,서울,2018-12-27 12:00,-9.1,,4.6,16,1,
108,서울,2018-12-27 13:00,-7.6,,3.8,20,1,
108,서울,2018-12-27 14:00,-7.3,,4.5,21,1,
108,서울,2018-12-27 15:00,-7.3,,4.1,19,1,
108,서울,2018-12-27 16:00,-7.5,,3.3,24,1,
108,서울,2018-12-27 17:00,-8.6,,4.4,22,1,
108,서울,2018-12-27 18:00,-9.3,,3.8,27,0,
108,서울,2018-12-27 19:00,-9.8,,4.4,31,,
108,서울,2018-12-27 20:00,-10.4,,4.7,38,,
108,서울,2018-12-27 21:00,-11.1,,3.5,44,,
108,서울,2018-12-27 22:00,-11.7,,4.9,47,,
108,서울,2018-12-27 23:00,-12,,3.3,47,,
108,서울,2018-12-28 00:00,-12.5,,2.5,48,,
108,서울,2018-12-28 01:00,-13,,3.6,44,,
108,서울,2018-12-28 02:00,-13,,1.6,43,,
108,서울,2018-12-28 03:00,-13.1,,2.7,41,,
108,서울,2018-12-28 04:00,-13.3,,3.2,37,,
108,서울,2018-12-28 05:00,-13.7,,2.5,38,,
108,서울,2018-12-28 06:00,-13.9,,1.5,40,,
108,서울,2018-12-28 07:00,-14.2,,1.6,40,,
108,서울,2018-12-28 08:00,-14.2,,2.2,38,0,
108,서울,2018-12-28 09:00,-13.9,,2.8,35,.6,
108,서울,2018-12-28 10:00,-12.7,,1.4,31,1,
108,서울,2018-12-28 11:00,-11.1,,2.4,31,1,
108,서울,2018-12-28 12:00,-9.4,,2.9,28,1,
108,서울,2018-12-28 13:00,-8.6,,3.4,27,1,
108,서울,2018-12-28 14:00,-7.5,,3.6,25,1,
108,서울,2018-12-28 15:00,-6.9,,3.4,24,1,
108,서울,2018-12-28 16:00,-7.2,,3.3,24,1,
108,서울,2018-12-28 17:00,-7.7,,2.3,26,1,
108,서울,2018-12-28 18:00,-8.5,,2.4,25,.1,
108,서울,2018-12-28 19:00,-9.1,,1.3,29,,
108,서울,2018-12-28 20:00,-8.8,,2.4,31,,
108,서울,2018-12-28 21:00,-8.6,,2.1,31,,
108,서울,2018-12-28 22:00,-9.1,,2.8,31,,
108,서울,2018-12-28 23:00,-9.3,,3.2,36,,
108,서울,2018-12-29 00:00,-9.4,,3.5,40,,
108,서울,2018-12-29 01:00,-9.5,,2,39,,
108,서울,2018-12-29 02:00,-9.7,,2,40,,
108,서울,2018-12-29 03:00,-9.2,,4,34,,
108,서울,2018-12-29 04:00,-9.5,,3,31,,
108,서울,2018-12-29 05:00,-9.9,,1.7,29,,
108,서울,2018-12-29 06:00,-10.4,,1.9,29,,
108,서울,2018-12-29 07:00,-10.4,,2.4,28,,
108,서울,2018-12-29 08:00,-10.4,,2.4,27,0,
108,서울,2018-12-29 09:00,-9.8,,2.4,26,.6,
108,서울,2018-12-29 10:00,-8.4,,3.1,24,1,
108,서울,2018-12-29 11:00,-7,,3.3,21,1,
108,서울,2018-12-29 12:00,-6.1,,4.1,20,1,
108,서울,2018-12-29 13:00,-5.1,,3.7,20,1,
108,서울,2018-12-29 14:00,-3.9,,4.2,19,1,
108,서울,2018-12-29 15:00,-3.1,,2.8,20,1,
108,서울,2018-12-29 16:00,-3.1,,2.8,22,1,
108,서울,2018-12-29 17:00,-4.3,,2.9,24,1,
108,서울,2018-12-29 18:00,-5.5,,3.1,26,.1,
108,서울,2018-12-29 19:00,-6.1,,3.1,28,,
108,서울,2018-12-29 20:00,-6.6,,2.7,32,,
108,서울,2018-12-29 21:00,-7.3,,2.6,34,,
108,서울,2018-12-29 22:00,-8.2,,2.4,37,,
108,서울,2018-12-29 23:00,-8.9,,1.4,42,,
108,서울,2018-12-30 00:00,-9.4,,1.2,43,,
108,서울,2018-12-30 01:00,-10,,1.1,44,,
108,서울,2018-12-30 02:00,-10.6,,.9,48,,
108,서울,2018-12-30 03:00,-10.6,,.6,50,,
108,서울,2018-12-30 04:00,-10.6,,.6,50,,
108,서울,2018-12-30 05:00,-11,,1.2,51,,
108,서울,2018-12-30 06:00,-10.9,,1,45,,
108,서울,2018-12-30 07:00,-11.2,,.7,44,,
108,서울,2018-12-30 08:00,-10.6,,1.4,43,0,
108,서울,2018-12-30 09:00,-9.8,,2.4,34,.7,
108,서울,2018-12-30 10:00,-8.4,,1.2,32,1,
108,서울,2018-12-30 11:00,-5.8,,1,30,1,
108,서울,2018-12-30 12:00,-4.3,,1,28,1,
108,서울,2018-12-30 13:00,-3.2,,1.4,26,1,
108,서울,2018-12-30 14:00,-1.5,,1.9,25,1,
108,서울,2018-12-30 15:00,-.9,,1.8,24,1,
108,서울,2018-12-30 16:00,-1,,1.7,24,1,
108,서울,2018-12-30 17:00,-3,,1.7,27,1,
108,서울,2018-12-30 18:00,-4.4,,1.7,29,0,
108,서울,2018-12-30 19:00,-5.2,,1.2,32,,
108,서울,2018-12-30 20:00,-5.8,,.8,34,,
108,서울,2018-12-30 21:00,-6.2,,1.2,33,,
108,서울,2018-12-30 22:00,-6.8,,1.1,38,,
108,서울,2018-12-30 23:00,-7.3,,1.6,40,,
108,서울,2018-12-31 00:00,-7.7,,.9,44,,
108,서울,2018-12-31 01:00,-8.1,,.8,42,,
108,서울,2018-12-31 02:00,-8.5,,.7,43,,
108,서울,2018-12-31 03:00,-8.9,,.7,44,,
108,서울,2018-12-31 04:00,-9.2,,.8,44,,
108,서울,2018-12-31 05:00,-9.6,,.4,51,,
108,서울,2018-12-31 06:00,-9.9,,.8,51,,
108,서울,2018-12-31 07:00,-10.3,,1,54,,
108,서울,2018-12-31 08:00,-10.2,,.9,56,0,
108,서울,2018-12-31 09:00,-9.5,,.9,52,.6,
108,서울,2018-12-31 10:00,-6.7,,.5,43,1,
108,서울,2018-12-31 11:00,-3.4,,.9,30,1,
108,서울,2018-12-31 12:00,-2.2,,1.9,27,1,
108,서울,2018-12-31 13:00,-1.4,,2.4,27,1,
108,서울,2018-12-31 14:00,-1.5,,2.4,24,1,
108,서울,2018-12-31 15:00,-.6,,1.9,18,1,
108,서울,2018-12-31 16:00,-.9,,1.9,18,.8,
108,서울,2018-12-31 17:00,-1.6,,1.9,22,.8,
108,서울,2018-12-31 18:00,-2.4,,1.7,27,.1,
108,서울,2018-12-31 19:00,-3.1,,2.1,43,,
108,서울,2018-12-31 20:00,-3.7,,.8,39,,
108,서울,2018-12-31 21:00,-4.6,,1.1,44,,
108,서울,2018-12-31 22:00,-5.4,,1.3,46,,
108,서울,2018-12-31 23:00,-5.2,,1.6,47,,
