feature,importance_gain,importance_split
lag_1,212967190.22665358,5039
lag_168,119690313.24082708,11251
rolling_mean_3,72773347.86190987,4747
lag_24,40055551.54063892,6949
rolling_mean_24,22463546.751541615,10617
hour,11521248.308051586,20159
hour_cos,10494196.378158092,11224
lag_48,10048251.8741498,6505
precipitation,9477703.203354359,6924
hour_sin,6956142.267812729,12592
is_day_off,4946478.411684036,6998
humidity,4387668.517673492,13858
dayofweek,3629708.552265644,13751
temperature,3109036.2088069916,16434
diff_24,2806352.1217603683,5950
rolling_std_24,2581137.191926956,5666
day,2377921.4791898727,13895
rolling_mean_6,1802366.4786729813,6576
longitude,1736811.7693662643,28128
wind_speed,1731308.5307555199,9172
month,1577292.6324100494,8386
latitude,1494365.5293374062,24718
lag_2,830743.5221247673,2204
station_id,686431.9700522423,13877
rack_count,501575.1188688278,8490
diff_1,393491.3108534813,2787
station_age_days,238447.62526798248,6089
lag_3,127539.37333106995,2014
